Year,Region,State,Total,Male,Female
2005,Midwest,Illinois,190,180,10
2005,Midwest,Indiana,142,130,12
2005,Midwest,Iowa,65,60,5
2005,Midwest,Kansas,70,60,10
2005,Midwest,Michigan,187,180,7
2005,Midwest,Minnesota,87,80,7
2005,Midwest,Missouri,145,140,5
2005,Midwest,Nebraska,34,30,4
2005,Midwest,North Dakota,16,10,6
2005,Midwest,Ohio,284,270,14
2005,Midwest,South Dakota,31,30,1
2005,Midwest,Wisconsin,123,110,13
2005,Northeast,Connecticut,45,40,5
2005,Northeast,Maine,43,40,3
2005,Northeast,Massachusetts,64,60,4
2005,Northeast,New Hampshire,33,30,3
2005,Northeast,New Jersey,63,60,3
2005,Northeast,New York,157,150,7
2005,Northeast,Pennsylvania,268,260,8
2005,Northeast,Rhode Island,12,10,2
2005,Northeast,Vermont,13,10,3
2005,South,Alabama,103,100,3
2005,South,Arkansas,73,70,3
2005,South,Delaware,18,10,8
2005,South,District Of Columbia,8,5,3
2005,South,Florida,470,448,22
2005,South,Georgia,172,160,12
2005,South,Kentucky,111,100,11
2005,South,Louisiana,61,50,11
2005,South,Maryland,92,80,12
2005,South,Mississippi,53,50,3
2005,South,North Carolina,187,180,7
2005,South,Oklahoma,94,90,4
2005,South,South Carolina,72,60,12
2005,South,Tennessee,157,150,7
2005,South,Texas,403,389,14
2005,South,Virginia,181,170,11
2005,South,West Virginia,58,50,8
2005,West,Alaska,20,10,10
2005,West,Arizona,176,160,16
2005,West,California,452,428,24
2005,West,Colorado,156,140,16
2005,West,Hawaii,12,10,2
2005,West,Idaho,53,40,13
2005,West,Montana,49,40,9
2005,West,Nevada,105,100,5
2005,West,New Mexico,63,50,13
2005,West,Oregon,113,100,13
2005,West,Utah,36,30,6
2005,West,Washington,156,150,6
2005,West,Wyoming,22,20,2
2006,Midwest,Illinois,149,140,9
2006,Midwest,Indiana,136,130,6
2006,Midwest,Iowa,59,50,9
2006,Midwest,Kansas,70,60,10
2006,Midwest,Michigan,231,220,11
2006,Midwest,Minnesota,95,80,15
2006,Midwest,Missouri,154,150,4
2006,Midwest,Nebraska,39,30,9
2006,Midwest,North Dakota,15,10,5
2006,Midwest,Ohio,226,220,6
2006,Midwest,South Dakota,22,20,2
2006,Midwest,Wisconsin,118,110,8
2006,Northeast,Connecticut,39,30,9
2006,Northeast,Maine,34,30,4
2006,Northeast,Massachusetts,48,40,8
2006,Northeast,New Hampshire,32,20,12
2006,Northeast,New Jersey,62,50,12
2006,Northeast,New York,166,160,6
2006,Northeast,Pennsylvania,254,240,14
2006,Northeast,Rhode Island,21,20,1
2006,Northeast,Vermont,15,10,5
2006,South,Alabama,107,100,7
2006,South,Arkansas,74,70,4
2006,South,Delaware,16,10,6
2006,South,District Of Columbia,8,7,1
2006,South,Florida,485,467,18
2006,South,Georgia,157,150,7
2006,South,Kentucky,113,100,13
2006,South,Louisiana,63,60,3
2006,South,Maryland,79,70,9
2006,South,Mississippi,57,50,7
2006,South,North Carolina,197,190,7
2006,South,Oklahoma,89,80,9
2006,South,South Carolina,90,80,10
2006,South,Tennessee,156,150,6
2006,South,Texas,378,367,11
2006,South,Virginia,158,150,8
2006,South,West Virginia,56,50,6
2006,West,Alaska,24,20,4
2006,West,Arizona,199,190,9
2006,West,California,510,494,16
2006,West,Colorado,123,110,13
2006,West,Hawaii,15,10,5
2006,West,Idaho,39,30,9
2006,West,Montana,48,40,8
2006,West,Nevada,100,90,10
2006,West,New Mexico,59,50,9
2006,West,Oregon,118,110,8
2006,West,Utah,46,40,6
2006,West,Washington,124,110,14
2006,West,Wyoming,21,10,11
2007,Midwest,Illinois,156,150,6
2007,Midwest,Indiana,136,130,6
2007,Midwest,Iowa,60,50,10
2007,Midwest,Kansas,74,70,4
2007,Midwest,Michigan,189,180,9
2007,Midwest,Minnesota,103,90,13
2007,Midwest,Missouri,131,120,11
2007,Midwest,Nebraska,30,20,10
