Cause of Death,Deaths,Percent,State,First Year,Last Year,Race/Ethnicty,Sex,Age Group
Firearm,14559,57.93935053,United States,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,5528,21.99936326,United States,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,3082,12.26520216,United States,2005,2005,"All Races,",Males,Ages 18-85+
Fall,489,1.946036294,United States,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,486,1.934097421,United States,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",259,1.0307227,United States,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,255,1.014804202,United States,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",159,0.632760267,United States,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,130,0.517351162,United States,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,105,0.417860554,United States,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,76,0.302451449,United States,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,1642,47.63562518,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1012,29.35886278,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,395,11.45923992,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Fall,126,3.65535248,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,96,2.785030461,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",65,1.885697708,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,52,1.508558167,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,22,0.638236147,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",20,0.580214679,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,14,0.406150276,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,3,0.087032202,Northeast,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,6241,64.45982235,South,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1829,18.89072506,South,2005,2005,"All Races,",Males,Ages 18-85+
Poisoning,1001,10.33877298,South,2005,2005,"All Races,",Males,Ages 18-85+
Cut/pierce,171,1.766164016,South,2005,2005,"All Races,",Males,Ages 18-85+
Fall,122,1.260070233,South,2005,2005,"All Races,",Males,Ages 18-85+
Drowning,88,0.908903119,South,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., classifiable",74,0.764304896,South,2005,2005,"All Races,",Males,Ages 18-85+
"Other Spec., NEC",65,0.671348895,South,2005,2005,"All Races,",Males,Ages 18-85+
Unspecified,42,0.433794671,South,2005,2005,"All Races,",Males,Ages 18-85+
Fire/burn,31,0.320181781,South,2005,2005,"All Races,",Males,Ages 18-85+
Transportation- Related,18,0.185912002,South,2005,2005,"All Races,",Males,Ages 18-85+
Firearm,3188,55.86122306,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
Suffocation,1297,22.72647626,Midwest,2005,2005,"All Races,",Males,Ages 18-85+
