Rank,Cause of Death,Total Deaths,Deaths,Percent,First Year,Last Year,Age Group,Race/Ethnicty,Sex,State
3,Suicide,50385,6996,13.88508485,2005,2005,18-34,"All Races,",Males,United States
4,Suicide,167781,10332,6.158027429,2005,2005,35-54,"All Races,",Males,United States
10,Suicide,388236,5190,1.336815751,2005,2005,55-74,"All Races,",Males,United States
17,Suicide,574031,2610,0.454679277,2005,2005,75-85,"All Races,",Males,United States
3,Suicide,51914,7032,13.54547906,2006,2006,18-34,"All Races,",Males,United States
4,Suicide,167322,10641,6.359594076,2006,2006,35-54,"All Races,",Males,United States
9,Suicide,387152,5431,1.402808199,2006,2006,55-74,"All Races,",Males,United States
17,Suicide,568893,2494,0.438395269,2006,2006,75-85,"All Races,",Males,United States
3,Suicide,51021,7244,14.1980753,2007,2007,18-34,"All Races,",Males,United States
4,Suicide,164561,10976,6.669867101,2007,2007,35-54,"All Races,",Males,United States
9,Suicide,391962,5829,1.487133957,2007,2007,55-74,"All Races,",Males,United States
16,Suicide,569669,2566,0.450437008,2007,2007,75-85,"All Races,",Males,United States
3,Suicide,49850,7266,14.57572718,2008,2008,18-34,"All Races,",Males,United States
4,Suicide,162724,11371,6.987905902,2008,2008,35-54,"All Races,",Males,United States
9,Suicide,404950,6558,1.619459192,2008,2008,55-74,"All Races,",Males,United States
16,Suicide,583117,2531,0.434046684,2008,2008,75-85,"All Races,",Males,United States
2,Suicide,48044,7294,15.18191658,2009,2009,18-34,"All Races,",Males,United States
4,Suicide,161375,11611,7.195042603,2009,2009,35-54,"All Races,",Males,United States
9,Suicide,409936,6851,1.671236486,2009,2009,55-74,"All Races,",Males,United States
16,Suicide,573814,2552,0.444743419,2009,2009,75-85,"All Races,",Males,United States
2,Suicide,47709,7856,16.46649479,2010,2010,18-34,"All Races,",Males,United States
4,Suicide,155452,11766,7.568895865,2010,2010,35-54,"All Races,",Males,United States
9,Suicide,418999,7287,1.739144962,2010,2010,55-74,"All Races,",Males,United States
16,Suicide,587696,2617,0.445298249,2010,2010,75-85,"All Races,",Males,United States
2,Suicide,48924,8192,16.74433816,2011,2011,18-34,"All Races,",Males,United States
4,Suicide,154924,11681,7.539825979,2011,2011,35-54,"All Races,",Males,United States
8,Suicide,430917,7572,1.757182938,2011,2011,55-74,"All Races,",Males,United States
16,Suicide,598118,2721,0.454926954,2011,2011,75-85,"All Races,",Males,United States
2,Suicide,49262,8287,16.82229711,2012,2012,18-34,"All Races,",Males,United States
4,Suicide,152143,11763,7.731542036,2012,2012,35-54,"All Races,",Males,United States
8,Suicide,445886,8032,1.801357298,2012,2012,55-74,"All Races,",Males,United States
15,Suicide,604784,2853,0.47173867,2012,2012,75-85,"All Races,",Males,United States
2,Suicide,49396,8339,16.88193376,2013,2013,18-34,"All Races,",Males,United States
4,Suicide,151069,11396,7.543572804,2013,2013,35-54,"All Races,",Males,United States
8,Suicide,464223,8445,1.819168805,2013,2013,55-74,"All Races,",Males,United States
15,Suicide,619802,2990,0.482412125,2013,2013,75-85,"All Races,",Males,United States
2,Suicide,50907,8662,17.0153417,2014,2014,18-34,"All Races,",Males,United States
4,Suicide,150070,11471,7.643766242,2014,2014,35-54,"All Races,",Males,United States
8,Suicide,480846,8975,1.866501957,2014,2014,55-74,"All Races,",Males,United States
15,Suicide,625215,3110,0.497428884,2014,2014,75-85,"All Races,",Males,United States
2,Suicide,55007,9153,16.6397004,2015,2015,18-34,"All Races,",Males,United States
4,Suicide,151217,11634,7.693579426,2015,2015,35-54,"All Races,",Males,United States
8,Suicide,499973,9068,1.81369794,2015,2015,55-74,"All Races,",Males,United States
15,Suicide,645550,3171,0.491209047,2015,2015,75-85,"All Races,",Males,United States
2,Suicide,60984,9693,15.89433294,2016,2016,18-34,"All Races,",Males,United States
4,Suicide,154301,11492,7.447780637,2016,2016,35-54,"All Races,",Males,United States
8,Suicide,515126,9208,1.787523829,2016,2016,55-74,"All Races,",Males,United States
15,Suicide,648174,3291,0.507734034,2016,2016,75-85,"All Races,",Males,United States
